,accuracy,precision,recall,f1,confusion_matrix
LogisticRegression,0.57,0.5783132530120482,0.8571428571428571,0.6906474820143885,"[[9, 35], [8, 48]]"
RandomForest,0.45,0.5081967213114754,0.5535714285714286,0.5299145299145299,"[[14, 30], [25, 31]]"
